Facies,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Latitude,Longitude
3,B1 SH,2686,67.48,0.407,8.6,14.6,3.1,1,0.205,37.4499614,-101.6121913
3,B1 SH,2686.5,74.05,0.436,8.4,14.8,3.2,1,0.179,37.4499614,-101.6121913
3,B1 SH,2687,77.79,0.464,8.2,14.6,3.2,1,0.154,37.4499614,-101.6121913
3,B1 SH,2687.5,76.99,0.49,6.9,13.55,3.3,1,0.128,37.4499614,-101.6121913
3,B1 SH,2688,75.9,0.502,6.7,15.15,3.4,1,0.103,37.4499614,-101.6121913
3,B1 SH,2688.5,74.27,0.521,3.7,18.55,3.5,1,0.077,37.4499614,-101.6121913
3,B1 SH,2689,73.43,0.537,-1,21.9,3.6,1,0.051,37.4499614,-101.6121913
3,B1 SH,2689.5,64.68,0.633,-0.5,20.45,3.3,1,0.026,37.4499614,-101.6121913
8,B1 LM,2690,50.6,0.717,-0.2,16.1,3.4,2,1,37.4499614,-101.6121913
8,B1 LM,2690.5,39.67,0.792,-1.6,6.4,3.6,2,0.957,37.4499614,-101.6121913
8,B1 LM,2691,31.96,0.81,0.5,4.55,3.9,2,0.913,37.4499614,-101.6121913
6,B1 LM,2691.5,42.29,0.866,0.6,4.6,4.5,2,0.87,37.4499614,-101.6121913
6,B1 LM,2692,48.33,0.904,1.8,5.6,4.2,2,0.826,37.4499614,-101.6121913
6,B1 LM,2692.5,48.4,0.932,0.9,6.15,3.6,2,0.783,37.4499614,-101.6121913
6,B1 LM,2693,48.41,0.979,0.5,6.25,3.4,2,0.739,37.4499614,-101.6121913
6,B1 LM,2693.5,46.41,1.007,-0.2,5.9,3.5,2,0.696,37.4499614,-101.6121913
8,B1 LM,2694,44.36,1.025,-0.7,5.45,3.6,2,0.652,37.4499614,-101.6121913
8,B1 LM,2694.5,39.15,1.053,-0.2,4.4,3.8,2,0.609,37.4499614,-101.6121913
6,B1 LM,2695,36.7,1.072,0.7,3.25,4.1,2,0.565,37.4499614,-101.6121913
6,B1 LM,2695.5,36.01,1.1,0.5,3.05,4.7,2,0.522,37.4499614,-101.6121913
6,B1 LM,2696,37.9,1.119,0.8,3.3,4.9,2,0.478,37.4499614,-101.6121913
6,B1 LM,2696.5,40.44,1.119,1.4,3.6,4.7,2,0.435,37.4499614,-101.6121913
6,B1 LM,2697,43.51,1.128,1.7,3.75,4.5,2,0.391,37.4499614,-101.6121913
6,B1 LM,2697.5,44.73,1.119,1.8,3.9,4.3,2,0.348,37.4499614,-101.6121913
6,B1 LM,2698,52.29,1.119,1.9,4.25,4.2,2,0.304,37.4499614,-101.6121913
6,B1 LM,2698.5,57.68,1.095,2.9,5.35,4.3,2,0.261,37.4499614,-101.6121913
8,B1 LM,2699,55.66,1.063,2.6,5.3,4.5,2,0.217,37.4499614,-101.6121913
8,B1 LM,2699.5,51.65,1.044,1.7,4.35,4.6,2,0.174,37.4499614,-101.6121913
8,B1 LM,2700,48.58,0.894,1.2,3.4,4.6,2,0.13,37.4499614,-101.6121913
8,B1 LM,2700.5,52.53,0.82,0.8,3.5,4.5,2,0.087,37.4499614,-101.6121913
8,B1 LM,2701,63.83,0.727,2.4,4.9,4.1,2,0.043,37.4499614,-101.6121913
3,B2 SH,2701.5,73.93,0.661,2.5,9.95,3.6,1,1,37.4499614,-101.6121913
3,B2 SH,2702,82.15,0.623,5.9,12.95,3.2,1,0.957,37.4499614,-101.6121913
2,B2 SH,2702.5,79.86,0.586,7.5,14.05,3.1,1,0.913,37.4499614,-101.6121913
2,B2 SH,2703,75.71,0.567,6.6,13.5,3.1,1,0.87,37.4499614,-101.6121913
2,B2 SH,2703.5,70.41,0.567,7,11,3.2,1,0.826,37.4499614,-101.6121913
2,B2 SH,2704,59.72,0.595,6.8,9.4,3.4,1,0.783,37.4499614,-101.6121913
2,B2 SH,2704.5,61.47,0.623,5.8,8.4,3.6,1,0.739,37.4499614,-101.6121913
2,B2 SH,2705,65.24,0.623,6.6,8.9,3.9,1,0.696,37.4499614,-101.6121913
2,B2 SH,2705.5,66.26,0.633,6.4,9.1,4.1,1,0.652,37.4499614,-101.6121913
2,B2 SH,2706,68.21,0.623,4.8,9.8,4.2,1,0.609,37.4499614,-101.6121913
2,B2 SH,2706.5,69.24,0.567,3.1,10.65,4,1,0.565,37.4499614,-101.6121913
2,B2 SH,2707,71.23,0.53,2,12.8,3.8,1,0.522,37.4499614,-101.6121913
2,B2 SH,2707.5,76.47,0.502,-9.2,23.9,3.7,1,0.478,37.4499614,-101.6121913
3,B2 SH,2708,83.52,0.493,-5.5,27.15,3.2,1,0.435,37.4499614,-101.6121913
3,B2 SH,2708.5,82.88,0.502,-4.8,27.5,2.6,1,0.348,37.4499614,-101.6121913
3,B2 SH,2709,76.99,0.53,-2.5,25.55,2.6,1,0.304,37.4499614,-101.6121913
2,B2 SH,2709.5,68.71,0.549,-1.9,15.95,2.7,1,0.261,37.4499614,-101.6121913
2,B2 SH,2710,66.49,0.595,2.3,9.95,3,1,0.217,37.4499614,-101.6121913
2,B2 SH,2710.5,66.67,0.614,1.8,10.3,3.4,1,0.174,37.4499614,-101.6121913
2,B2 SH,2711,68.68,0.661,4.7,17.45,3.4,1,0.13,37.4499614,-101.6121913
2,B2 SH,2711.5,67.26,0.689,-3.6,21.4,3.3,1,0.087,37.4499614,-101.6121913
8,B2 LM,2712,38.21,0.745,0.5,17.25,3.2,2,1,37.4499614,-101.6121913
8,B2 LM,2712.5,23.03,0.764,2,13.2,3.4,2,0.947,37.4499614,-101.6121913
8,B2 LM,2713,16.09,0.764,0,9.6,4,2,0.895,37.4499614,-101.6121913
8,B2 LM,2713.5,15.38,0.773,0.2,9.4,4.7,2,0.842,37.4499614,-101.6121913
8,B2 LM,2714,15.34,0.792,0.1,9.75,5.3,2,0.789,37.4499614,-101.6121913
8,B2 LM,2714.5,15.83,0.792,-1.5,11.15,5.8,2,0.737,37.4499614,-101.6121913
8,B2 LM,2715,16.39,0.801,-2,11.4,5.8,2,0.684,37.4499614,-101.6121913
8,B2 LM,2715.5,17.2,0.838,-2.5,11.15,5.6,2,0.632,37.4499614,-101.6121913
8,B2 LM,2716,20.17,0.857,-3,10.4,5.2,2,0.579,37.4499614,-101.6121913
8,B2 LM,2716.5,24.31,0.876,-3,8.6,5.1,2,0.526,37.4499614,-101.6121913
8,B2 LM,2717,24.49,0.885,-0.4,6.6,5,2,0.474,37.4499614,-101.6121913
8,B2 LM,2717.5,24.54,0.904,0.7,5.95,5,2,0.421,37.4499614,-101.6121913
8,B2 LM,2718,23.16,0.904,1.2,6.5,5,2,0.368,37.4499614,-101.6121913
8,B2 LM,2718.5,22.98,0.913,1.1,6.75,5,2,0.316,37.4499614,-101.6121913
8,B2 LM,2719,23.48,0.904,0.8,7.8,5.1,2,0.263,37.4499614,-101.6121913
8,B2 LM,2719.5,25.9,0.866,1.8,8.1,5.1,2,0.211,37.4499614,-101.6121913
6,B2 LM,2720,25.9,0.866,1.8,8.1,5.1,2,0.211,37.4499614,-101.6121913
6,B2 LM,2720.5,32.16,0.824,2.9,8.15,5.1,2,0.158,37.4499614,-101.6121913
6,B2 LM,2721,34.86,0.773,3.5,8.55,5.1,2,0.105,37.4499614,-101.6121913
6,B2 LM,2721.5,38.53,0.726,2.8,8.9,5.1,2,0.053,37.4499614,-101.6121913
3,B3 SH,2722,40.07,0.595,0.3,8.95,4.9,1,1,37.4499614,-101.6121913
3,B3 SH,2722.5,45.45,0.493,-5.8,11.9,4.4,1,0.971,37.4499614,-101.6121913
3,B3 SH,2723,54.42,0.446,-16,17.8,3.7,1,0.943,37.4499614,-101.6121913
3,B3 SH,2723.5,82.13,0.427,-12.2,23.4,3.3,1,0.914,37.4499614,-101.6121913
3,B3 SH,2724,95.72,0.399,-5.6,27.1,2.9,1,0.886,37.4499614,-101.6121913
3,B3 SH,2724.5,100.54,0.371,-0.6,29.6,2.6,1,0.857,37.4499614,-101.6121913
3,B3 SH,2725,101.09,0.343,-0.2,29.8,2.5,1,0.829,37.4499614,-101.6121913
3,B3 SH,2725.5,97.01,0.306,-0.5,29.55,2.4,1,0.8,37.4499614,-101.6121913
3,B3 SH,2726,89.65,0.268,-3.4,28,2.4,1,0.771,37.4499614,-101.6121913
3,B3 SH,2726.5,87.36,0.25,-1.3,23.45,2.4,1,0.743,37.4499614,-101.6121913
3,B3 SH,2727,84.42,0.231,3,20.9,2.5,1,0.714,37.4499614,-101.6121913
3,B3 SH,2727.5,83.16,0.222,7.3,18.85,2.7,1,0.686,37.4499614,-101.6121913
3,B3 SH,2728,82.81,0.212,7.6,19.5,2.7,1,0.657,37.4499614,-101.6121913
3,B3 SH,2728.5,85.11,0.194,4.3,21.85,2.8,1,0.629,37.4499614,-101.6121913
3,B3 SH,2729,86.75,0.194,4.1,21.85,2.7,1,0.6,37.4499614,-101.6121913
3,B3 SH,2729.5,87.27,0.194,3,21.2,2.6,1,0.571,37.4499614,-101.6121913
3,B3 SH,2730,85.02,0.203,5.4,19.6,2.6,1,0.543,37.4499614,-101.6121913
3,B3 SH,2730.5,79.75,0.226,5.8,19.7,2.6,1,0.514,37.4499614,-101.6121913
3,B3 SH,2731,78.3,0.24,5.5,19.85,2.6,1,0.486,37.4499614,-101.6121913
3,B3 SH,2731.5,81.07,0.269,7.6,18.4,2.6,1,0.457,37.4499614,-101.6121913
2,B3 SH,2732,79.27,0.302,6.4,16.2,2.8,1,0.429,37.4499614,-101.6121913
2,B3 SH,2732.5,73.93,0.334,5.9,14.05,3,1,0.4,37.4499614,-101.6121913
2,B3 SH,2733,65.23,0.371,4.1,11.95,3.3,1,0.371,37.4499614,-101.6121913
2,B3 SH,2733.5,61.78,0.446,3.2,11.2,3.5,1,0.343,37.4499614,-101.6121913
2,B3 SH,2734,62.11,0.493,2.8,11.5,3.5,1,0.314,37.4499614,-101.6121913
2,B3 SH,2734.5,62.58,0.521,2.7,11.95,3.4,1,0.286,37.4499614,-101.6121913
2,B3 SH,2735,64.56,0.53,2.5,12.15,3.3,1,0.257,37.4499614,-101.6121913
2,B3 SH,2735.5,67.07,0.53,2.5,11.85,3.4,1,0.229,37.4499614,-101.6121913
2,B3 SH,2736,68.49,0.521,2.8,11.7,3.3,1,0.2,37.4499614,-101.6121913
2,B3 SH,2736.5,74.44,0.521,3.1,11.55,3.2,1,0.171,37.4499614,-101.6121913
3,B3 SH,2737,78.97,0.521,4.4,11.5,3.3,1,0.143,37.4499614,-101.6121913
3,B3 SH,2737.5,80.06,0.558,5.7,11.65,3.4,1,0.114,37.4499614,-101.6121913
8,B3 LM,2738,67.48,0.741,2.5,13.85,3.9,2,1,37.4499614,-101.6121913
8,B3 LM,2738.5,52.5,0.773,1.4,12.9,4,2,0.889,37.4499614,-101.6121913
8,B3 LM,2739,31.71,0.801,0.6,9.2,4.3,2,0.778,37.4499614,-101.6121913
8,B3 LM,2739.5,25.1,0.81,-0.7,8.35,4.6,2,0.667,37.4499614,-101.6121913
8,B3 LM,2740,23.57,0.829,-1.5,7.55,4.7,2,0.556,37.4499614,-101.6121913
8,B3 LM,2740.5,25.17,0.829,-1.5,7.15,4.7,2,0.444,37.4499614,-101.6121913
8,B3 LM,2741,31.3,0.801,-0.8,6.7,4.7,2,0.333,37.4499614,-101.6121913
8,B3 LM,2741.5,37.3,0.773,0.1,6.75,4.4,2,0.222,37.4499614,-101.6121913
8,B3 LM,2742,43.05,0.736,0.9,7.15,3.8,2,0.111,37.4499614,-101.6121913
2,B4 SH,2742.5,49.95,0.698,1.6,7.9,3.6,1,1,37.4499614,-101.6121913
2,B4 SH,2743,56.08,0.642,1.6,8.2,3.5,1,0.957,37.4499614,-101.6121913
2,B4 SH,2743.5,58.25,0.62,1.8,8.8,3.4,1,0.913,37.4499614,-101.6121913
2,B4 SH,2744,61.71,0.596,3,9.1,3.4,1,0.87,37.4499614,-101.6121913
2,B4 SH,2744.5,66.63,0.567,4.1,9.45,3.3,1,0.826,37.4499614,-101.6121913
3,B4 SH,2745,71.55,0.558,5.1,9.85,3.3,1,0.783,37.4499614,-101.6121913
3,B4 SH,2745.5,78.54,0.567,6.9,11.35,3.3,1,0.739,37.4499614,-101.6121913
3,B4 SH,2746,82.48,0.549,9.5,13.95,3.2,1,0.696,37.4499614,-101.6121913
3,B4 SH,2746.5,77.48,0.549,8.7,13.65,3.2,1,0.652,37.4499614,-101.6121913
2,B4 SH,2747,74.35,0.539,7.7,12.75,3.1,1,0.609,37.4499614,-101.6121913
